tree.id,Mum,Dad
10154,268-54,875-220
10403,268-54,875-220
10453,268-54,875-220
10491,268-54,875-220
10314,268-54,875-220
10194,268-54,875-220
10025,268-54,875-220
10109,268-54,875-220
10086,268-248,268-323
10135,268-248,268-323
10178,268-248,268-323
10129,268-248,268-323
10134,268-248,268-323
10215,268-248,268-323
10528,268-248,268-323
10027,268-248,268-323
10137,885-1,268-323
10286,885-1,268-323
10500,885-1,268-323
10409,885-1,268-323
10029,885-1,268-323
10106,885-1,268-323
10213,885-1,268-323
10320,268-531,875-223
10340,268-531,875-223
10482,268-531,875-223
10142,268-531,875-223
10402,268-531,875-223
10276,268-531,875-223
10537,268-531,875-223
10296,268-531,875-223
10030,268-531,875-223
10470,268-531,875-223
10508,268-531,875-223
10251,268-532,875-954
10152,268-532,875-954
10123,268-532,875-954
10157,268-532,875-954
10212,268-532,875-954
10116,268-532,875-954
10167,268-532,875-954
10148,268-532,875-954
10239,268-532,875-954
10474,268-532,875-954
10031,268-532,875-954
10332,880-754,880-729
10411,880-754,880-729
10495,880-754,880-729
10492,880-754,880-729
10285,880-754,880-729
10312,880-754,880-729
10396,880-754,880-729
10457,880-754,880-729
10163,880-754,880-729
10405,880-754,880-729
10502,880-754,880-729
10277,880-754,880-729
10526,880-754,880-729
10032,880-754,880-729
10506,880-754,880-729
10278,268-323,268-543
10252,268-323,268-543
10156,268-323,268-543
10486,268-323,268-543
10477,268-323,268-543
10035,268-323,268-543
10056,268-323,268-543
10390,268-323,268-543
10062,268-323,268-543
10136,268-323,268-543
10210,268-323,268-543
10120,268-323,268-543
10045,268-323,268-543
10184,268-323,268-543
10173,885-429,268-531
10349,885-429,268-531
10039,885-429,268-531
10530,885-429,268-531
10521,885-429,268-531
10407,885-429,268-531
10478,885-429,268-531
10343,885-429,268-531
10046,885-429,268-531
10181,268-131,880-729
10253,268-131,880-729
10290,268-131,880-729
10476,268-131,880-729
10313,268-131,880-729
10040,268-131,880-729
10509,268-131,880-729
10337,268-131,880-729
10488,268-131,880-729
10238,268-131,880-729
10364,268-131,880-729
10317,880-692,880-729
10245,880-692,880-729
10400,880-692,880-729
10246,880-692,880-729
10223,880-692,880-729
10519,880-692,880-729
10539,880-692,880-729
10204,880-692,880-729
10335,880-692,880-729
10371,880-692,880-729
10088,880-692,880-729
10041,880-692,880-729
10536,880-692,880-729
10446,880-692,880-729
10262,880-692,880-729
10363,880-692,880-729
10435,880-692,880-729
10100,268-65,880-729
10442,268-65,880-729
10451,268-65,880-729
10110,268-65,880-729
10432,268-65,880-729
10048,268-65,880-729
10297,268-65,880-729
10248,268-65,880-729
10186,268-65,880-729
10042,268-65,880-729
10381,268-65,880-729
10391,268-65,880-729
10534,268-109,880-728
10410,268-109,880-728
10475,268-109,880-728
10103,268-109,880-728
10433,268-109,880-728
10066,268-109,880-728
10044,268-109,880-728
10413,268-109,880-728
10425,268-109,880-728
10295,268-109,880-728
10301,268-109,880-728
10366,268-109,880-728
10050,887-825,875-220
10382,887-825,875-220
10099,887-825,875-220
10493,887-825,875-220
10293,887-825,875-220
10193,887-825,875-220
10227,887-825,875-220
10263,887-825,875-220
10189,887-825,875-220
10119,887-825,875-220
10051,268-323,875-66
10065,268-323,875-66
10080,268-323,875-66
10164,268-323,875-66
10206,268-323,875-66
10481,268-323,875-66
10160,268-323,875-66
10458,268-323,875-66
10434,268-323,875-66
10454,268-323,875-66
10128,885-1,268-262
10416,885-1,268-262
10260,885-1,268-262
10289,885-1,268-262
10055,885-1,268-262
10281,885-1,268-262
10054,885-1,268-262
10279,885-1,268-262
10241,885-1,268-262
10197,885-1,268-262
10146,885-1,268-262
10269,885-1,268-262
10437,885-1,268-262
10207,885-1,268-262
10505,885-1,268-262
10229,885-1,268-262
10057,268-514,268-323
10420,268-514,268-323
10096,268-514,268-323
10182,268-514,268-323
10440,268-514,268-323
10441,268-514,268-323
10273,268-514,268-323
10162,268-514,268-323
10220,268-109,880-729
10341,268-109,880-729
10480,268-109,880-729
10108,268-109,880-729
10368,268-109,880-729
10143,268-109,880-729
10244,268-109,880-729
10231,268-109,880-729
10467,268-109,880-729
10284,268-109,880-729
10058,268-109,880-729
10479,887-825,268-531
10325,887-825,268-531
10170,887-825,268-531
10357,887-825,268-531
10147,887-825,268-531
10422,887-825,268-531
10468,887-825,268-531
10059,887-825,268-531
10067,880-741,875-954
10517,880-741,875-954
10328,880-741,875-954
10171,880-741,875-954
10145,880-741,875-954
10471,880-741,875-954
10485,880-741,875-954
10450,880-741,875-954
10288,880-741,875-954
10373,880-741,875-954
10172,880-660,268-323
10237,880-660,268-323
10321,880-660,268-323
10538,880-660,268-323
10524,880-660,268-323
10153,880-660,268-323
10069,880-660,268-323
10071,880-660,268-323
10196,880-660,268-323
10127,880-660,268-323
10078,880-660,268-323
10222,880-660,268-323
10280,880-660,268-323
10428,880-660,268-323
10261,268-315,268-556
10235,268-315,268-556
10270,268-315,268-556
10447,268-315,268-556
10217,268-315,268-556
10072,268-315,268-556
10151,268-315,268-556
10122,268-315,268-556
10228,268-315,268-556
10324,268-315,268-556
10074,880-739,880-656
10205,880-739,880-656
10138,880-739,880-656
10507,880-739,880-656
10117,880-739,880-656
10283,880-739,880-656
10408,880-739,880-656
10131,875-293,268-323
10209,875-293,268-323
10518,875-293,268-323
10230,875-293,268-323
10075,875-293,268-323
10140,875-293,268-323
10308,875-293,268-323
10208,875-293,268-323
10190,875-293,268-323
10443,875-293,268-323
10436,875-293,268-323
10079,875-293,268-323
10417,850-553,875-242
10398,850-553,875-242
10192,850-553,875-242
10523,850-553,875-242
10516,850-553,875-242
10473,850-553,875-242
10345,850-553,875-242
10083,850-553,875-242
10259,850-553,875-242
10124,850-553,875-242
10448,850-55,880-728
10388,850-55,880-728
10089,850-55,880-728
10415,850-55,880-728
10097,850-55,880-728
10090,875-256,875-223
10318,875-256,875-223
10249,875-256,875-223
10336,875-256,875-223
10330,875-256,875-223
10378,875-256,875-223
10161,875-256,875-223
10118,875-256,875-223
10498,875-256,875-223
10199,885-1,875-220
10423,885-1,875-220
10256,885-1,875-220
10091,885-1,875-220
10459,885-1,875-220
10309,885-1,875-220
10404,885-1,875-220
10463,880-692,268-315
10372,880-692,268-315
10399,880-692,268-315
10126,880-692,268-315
10504,880-692,268-315
10094,880-692,268-315
10092,880-692,268-315
10326,880-692,268-315
10513,880-692,268-315
10499,880-692,268-315
10370,268-323,880-754
10316,268-323,880-754
10274,268-323,880-754
10520,268-323,880-754
10113,268-323,880-754
10439,268-323,880-754
10175,268-323,880-754
10452,268-543,880-656
10395,268-543,880-656
10304,268-543,880-656
10414,268-543,880-656
10427,268-543,880-656
10275,268-543,880-656
10353,268-543,880-656
10250,268-543,880-656
10449,268-543,880-656
10379,268-543,880-656
10438,875-250,875-954
10254,875-250,875-954
10266,875-250,875-954
10535,875-250,875-954
10430,875-250,875-954
10333,875-250,875-954
10350,875-066,875-076
10350,875-066,875-076
10329,875-066,875-076
10329,875-066,875-076
10531,875-066,875-076
10531,875-066,875-076
10294,875-066,875-076
10294,875-066,875-076
10376,875-066,875-076
10376,875-066,875-076
10494,875-066,875-076
10494,875-066,875-076
10375,875-066,875-076
10375,875-066,875-076
